gml_id,ust_katego,alt_katego,ad,geojson
bursa_sanayinoktalari.82,SANAYİ,FABRİKALAR,PAYE MAKİNA,"{""type"":""Point"",""coordinates"":[28.924209453,40.237516952]}"
bursa_sanayinoktalari.83,SANAYİ,FABRİKALAR,EFE MAKİNA,"{""type"":""Point"",""coordinates"":[28.936118033,40.233239112]}"
bursa_sanayinoktalari.84,SANAYİ,FABRİKALAR,REN-KA,"{""type"":""Point"",""coordinates"":[28.931541523,40.231730068]}"
bursa_sanayinoktalari.85,SANAYİ,FABRİKALAR,SOLENTEK,"{""type"":""Point"",""coordinates"":[28.924742538,40.24395876]}"
bursa_sanayinoktalari.86,SANAYİ,FABRİKALAR,MELTAM TEKSTİL,"{""type"":""Point"",""coordinates"":[28.937350886,40.234591467]}"
bursa_sanayinoktalari.87,SANAYİ,FABRİKALAR,TUNCA KESİM,"{""type"":""Point"",""coordinates"":[28.933979149,40.247477011]}"
bursa_sanayinoktalari.88,SANAYİ,FABRİKALAR,ETABAL,"{""type"":""Point"",""coordinates"":[28.933308291,40.245238327]}"
bursa_sanayinoktalari.89,SANAYİ,FABRİKALAR,OMSAN,"{""type"":""Point"",""coordinates"":[28.933587889,40.24682469]}"
bursa_sanayinoktalari.90,SANAYİ,FABRİKALAR,ÇELİKPAN,"{""type"":""Point"",""coordinates"":[28.940294551,40.234477213]}"
bursa_sanayinoktalari.91,SANAYİ,FABRİKALAR,FİLİZ  ÇELİK,"{""type"":""Point"",""coordinates"":[28.93173122,40.242875906]}"
bursa_sanayinoktalari.92,SANAYİ,FABRİKALAR,SGN,"{""type"":""Point"",""coordinates"":[28.933940518,40.244408531]}"
bursa_sanayinoktalari.93,SANAYİ,FABRİKALAR,BURÇAK METAL,"{""type"":""Point"",""coordinates"":[28.927781993,40.24056635]}"
bursa_sanayinoktalari.94,SANAYİ,FABRİKALAR,BİLİM MAKİNA A.Ş.,"{""type"":""Point"",""coordinates"":[28.929611373,40.242420061]}"
bursa_sanayinoktalari.95,SANAYİ,FABRİKALAR,ETKA-D,"{""type"":""Point"",""coordinates"":[28.934754575,40.245172047]}"
bursa_sanayinoktalari.96,SANAYİ,FABRİKALAR,BURGEM METAL,"{""type"":""Point"",""coordinates"":[28.932783125,40.246040987]}"
bursa_sanayinoktalari.97,SANAYİ,FABRİKALAR,TRECO,"{""type"":""Point"",""coordinates"":[28.920944812,40.241593763]}"
bursa_sanayinoktalari.98,SANAYİ,FABRİKALAR,AİRKRAFT,"{""type"":""Point"",""coordinates"":[28.927486026,40.23483589]}"
bursa_sanayinoktalari.99,SANAYİ,FABRİKALAR,TÜLSAN TEKSTİL,"{""type"":""Point"",""coordinates"":[28.931997749,40.246142367]}"
bursa_sanayinoktalari.100,SANAYİ,FABRİKALAR,RİMAKSAN,"{""type"":""Point"",""coordinates"":[28.931273726,40.234507711]}"
bursa_sanayinoktalari.101,SANAYİ,FABRİKALAR,UZMAN KATAFOREZ,"{""type"":""Point"",""coordinates"":[28.932151534,40.242929584]}"
bursa_sanayinoktalari.102,SANAYİ,FABRİKALAR,MICHELFELDER,"{""type"":""Point"",""coordinates"":[28.93396242,40.242185641]}"
bursa_sanayinoktalari.103,SANAYİ,FABRİKALAR,İNOVA,"{""type"":""Point"",""coordinates"":[28.931761644,40.244726271]}"
bursa_sanayinoktalari.104,SANAYİ,FABRİKALAR,SİMETRİK PRO,"{""type"":""Point"",""coordinates"":[28.924745741,40.238012718]}"
bursa_sanayinoktalari.105,SANAYİ,FABRİKALAR,ALTINMAKAS BOYA,"{""type"":""Point"",""coordinates"":[28.937801595,40.234786177]}"
bursa_sanayinoktalari.106,SANAYİ,FABRİKALAR,PİLOT,"{""type"":""Point"",""coordinates"":[28.930519821,40.240467966]}"
bursa_sanayinoktalari.107,SANAYİ,FABRİKALAR,BURSA BİRLİK METAL,"{""type"":""Point"",""coordinates"":[28.930718254,40.244833554]}"
bursa_sanayinoktalari.108,SANAYİ,FABRİKALAR,PERSA,"{""type"":""Point"",""coordinates"":[28.928719917,40.236946386]}"
bursa_sanayinoktalari.109,SANAYİ,FABRİKALAR,BOYTEKNİK BARMAN,"{""type"":""Point"",""coordinates"":[28.936031315,40.232506116]}"
bursa_sanayinoktalari.110,SANAYİ,FABRİKALAR,EĞRETLİ,"{""type"":""Point"",""coordinates"":[28.927514071,40.245988953]}"
bursa_sanayinoktalari.111,SANAYİ,FABRİKALAR,FKT,"{""type"":""Point"",""coordinates"":[28.931425858,40.236414094]}"
bursa_sanayinoktalari.112,SANAYİ,FABRİKALAR,İLPAŞ,"{""type"":""Point"",""coordinates"":[28.932400088,40.236577241]}"
bursa_sanayinoktalari.113,SANAYİ,FABRİKALAR,EA OTOMASYON,"{""type"":""Point"",""coordinates"":[28.937470153,40.237721878]}"
bursa_sanayinoktalari.114,SANAYİ,FABRİKALAR,AYAZ KAUÇUK,"{""type"":""Point"",""coordinates"":[28.92550292,40.243937426]}"
bursa_sanayinoktalari.115,SANAYİ,FABRİKALAR,MARTUR,"{""type"":""Point"",""coordinates"":[28.932206169,40.239016391]}"
bursa_sanayinoktalari.116,SANAYİ,FABRİKALAR,EMPO,"{""type"":""Point"",""coordinates"":[28.927397228,40.241098658]}"
bursa_sanayinoktalari.117,SANAYİ,FABRİKALAR,UYAR DÖKÜM,"{""type"":""Point"",""coordinates"":[28.926543158,40.239123972]}"
bursa_sanayinoktalari.118,SANAYİ,FABRİKALAR,KARAKOÇ,"{""type"":""Point"",""coordinates"":[28.933649448,40.244096343]}"
bursa_sanayinoktalari.119,SANAYİ,FABRİKALAR,BER OTOMOTİV,"{""type"":""Point"",""coordinates"":[28.940929739,40.238297515]}"
bursa_sanayinoktalari.120,SANAYİ,FABRİKALAR,HAKSAN KAUÇUK PROFİL,"{""type"":""Point"",""coordinates"":[28.928549678,40.244070343]}"
bursa_sanayinoktalari.121,SANAYİ,FABRİKALAR,AKINLAR PLASTİK,"{""type"":""Point"",""coordinates"":[28.936240891,40.233041843]}"
bursa_sanayinoktalari.122,SANAYİ,FABRİKALAR,PİMET,"{""type"":""Point"",""coordinates"":[28.929488202,40.241974854]}"
bursa_sanayinoktalari.123,SANAYİ,FABRİKALAR,MG KONVEYÖR,"{""type"":""Point"",""coordinates"":[28.934901972,40.24301574]}"
bursa_sanayinoktalari.124,SANAYİ,FABRİKALAR,YAMAS,"{""type"":""Point"",""coordinates"":[28.935132192,40.246676646]}"
bursa_sanayinoktalari.125,SANAYİ,FABRİKALAR,YAYKURSAN,"{""type"":""Point"",""coordinates"":[28.931509012,40.245947299]}"
bursa_sanayinoktalari.126,SANAYİ,FABRİKALAR,YAĞ-PET,"{""type"":""Point"",""coordinates"":[28.937758626,40.234713922]}"
bursa_sanayinoktalari.127,SANAYİ,FABRİKALAR,SAVCAN TEKSTİL,"{""type"":""Point"",""coordinates"":[28.931935756,40.237160244]}"
bursa_sanayinoktalari.128,SANAYİ,FABRİKALAR,BODYCOTE ISTAŞ,"{""type"":""Point"",""coordinates"":[28.926042302,40.238542648]}"
bursa_sanayinoktalari.129,SANAYİ,FABRİKALAR,GÖKÇELİK,"{""type"":""Point"",""coordinates"":[28.928999257,40.23970546]}"
bursa_sanayinoktalari.130,SANAYİ,FABRİKALAR,BİLİM MAKİNA A.Ş.,"{""type"":""Point"",""coordinates"":[28.928571434,40.24349517]}"
bursa_sanayinoktalari.131,SANAYİ,FABRİKALAR,METİN ŞENYURT KONFEKSİYON,"{""type"":""Point"",""coordinates"":[28.93255821,40.244299558]}"
bursa_sanayinoktalari.132,SANAYİ,FABRİKALAR,AKSANTAŞ,"{""type"":""Point"",""coordinates"":[28.9318093,40.245361778]}"
bursa_sanayinoktalari.133,SANAYİ,FABRİKALAR,BOYKİMSAN,"{""type"":""Point"",""coordinates"":[28.934237348,40.24529973]}"
bursa_sanayinoktalari.134,SANAYİ,FABRİKALAR,GÜMÜŞ ARSLAN,"{""type"":""Point"",""coordinates"":[28.935545012,40.24285766]}"
bursa_sanayinoktalari.135,SANAYİ,FABRİKALAR,SİDELSA,"{""type"":""Point"",""coordinates"":[28.936475377,40.23584313]}"
bursa_sanayinoktalari.136,SANAYİ,FABRİKALAR,E.G PRES,"{""type"":""Point"",""coordinates"":[28.935375182,40.233517827]}"
bursa_sanayinoktalari.137,SANAYİ,FABRİKALAR,PİSTON,"{""type"":""Point"",""coordinates"":[28.935688054,40.233003748]}"
bursa_sanayinoktalari.138,SANAYİ,FABRİKALAR,DASEL,"{""type"":""Point"",""coordinates"":[28.927113094,40.236166934]}"
bursa_sanayinoktalari.139,SANAYİ,FABRİKALAR,FORMAK,"{""type"":""Point"",""coordinates"":[28.931610254,40.234653698]}"
